DEBUG | 2021-09-18T20:35:15,233 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.findByNameQuery(..) and returning Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances
DEBUG | 2021-09-18T20:35:15,234 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.readEntities(..) and returning DefaultResponse{status=SUCCESS, content=Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances}
DEBUG | 2021-09-18T20:35:20,150 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.readEntities(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:35:20,151 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.findByNameQuery(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:35:20,156 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.findByNameQuery(..) and returning Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances
DEBUG | 2021-09-18T20:35:20,157 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.readEntities(..) and returning DefaultResponse{status=SUCCESS, content=Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances}
DEBUG | 2021-09-18T20:35:24,747 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.readEntities(..) with arguments [Saurabh, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:35:24,748 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.findByNameQuery(..) with arguments [Saurabh, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:35:24,751 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.findByNameQuery(..) and returning Page 1 of 1 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances
DEBUG | 2021-09-18T20:35:24,752 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.readEntities(..) and returning DefaultResponse{status=SUCCESS, content=Page 1 of 1 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances}
